lon;lat;district;neighborhood;avg_price
2.17698;41.38966;ciutat vella;sant pere, santa caterina i la ribera;1.0
2.18098;41.38797;ciutat vella;sant pere, santa caterina i la ribera;1.5
2.18437;41.3864;ciutat vella;sant pere, santa caterina i la ribera;3.0
2.18319;41.38647;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.18021;41.3855099;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.18027;41.38525;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.18359454088;41.3857238331;ciutat vella;sant pere, santa caterina i la ribera;1.0
2.17644;41.38653;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.17450777557;41.3868238187;ciutat vella;el barri gòtic;2.0
2.17808246613;41.3891410532;ciutat vella;sant pere, santa caterina i la ribera;4.0
2.18391;41.38623;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.1803266;41.3850473;ciutat vella;sant pere, santa caterina i la ribera;1.0
2.1771818;41.3890637;ciutat vella;sant pere, santa caterina i la ribera;1.0
2.17924;41.39029;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.17568469546;41.3896595807;eixample;la dreta de l'eixample;2.0
2.17537953407;41.3858459236;ciutat vella;el barri gòtic;3.5
2.17839;41.39091;eixample;la dreta de l'eixample;4.0
2.17611;41.38606;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.17589;41.38715;ciutat vella;sant pere, santa caterina i la ribera;1.0
2.18105450614;41.3858784568;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.1786699;41.3868713;ciutat vella;sant pere, santa caterina i la ribera;1.0
2.18358429667;41.3871241908;ciutat vella;sant pere, santa caterina i la ribera;3.0
2.18068;41.38887;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.17904;41.38924;ciutat vella;sant pere, santa caterina i la ribera;1.0
2.16108917;41.38412827;eixample;l'antiga esquerra de l'eixample;2.0
2.17595;41.38618;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.17615127563;41.3875312006;ciutat vella;sant pere, santa caterina i la ribera;1.0
2.18014;41.38857;ciutat vella;sant pere, santa caterina i la ribera;1.5
2.17456586002;41.386140449;ciutat vella;el barri gòtic;3.0
2.17995;41.3886719;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.17908;41.39117;eixample;la dreta de l'eixample;2.0
2.18012;41.38628;ciutat vella;sant pere, santa caterina i la ribera;2.5
2.17313;41.3880615;ciutat vella;el barri gòtic;3.0
2.1851799;41.3905106;sant martí;el parc i la llacuna del poblenou;1.0
2.18431;41.38498;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.18336;41.38525;ciutat vella;sant pere, santa caterina i la ribera;2.5
2.18406;41.3866299;ciutat vella;sant pere, santa caterina i la ribera;3.0
2.19554901123;41.3884488215;sant martí;la vila olímpica del poblenou;1.5
2.19736;41.38731;sant martí;la vila olímpica del poblenou;2.0
2.19676136971;41.3858488621;ciutat vella;la barceloneta;2.5
2.19657;41.38708;ciutat vella;la barceloneta;4.0
2.1968668063;41.3876262369;sant martí;la vila olímpica del poblenou;3.0
2.19474;41.38604;ciutat vella;la barceloneta;3.5
2.19657920924;41.3893627036;sant martí;la vila olímpica del poblenou;1.5
2.19702422619;41.3858891099;ciutat vella;la barceloneta;2.0
2.198174549;41.387338955;sant martí;la vila olímpica del poblenou;2.0
2.1989701;41.3881416;sant martí;la vila olímpica del poblenou;2.0
2.1987476;41.3877918;sant martí;la vila olímpica del poblenou;1.0
2.19940222373;41.3882051696;sant martí;la vila olímpica del poblenou;1.0
2.19885491933;41.3878328987;sant martí;la vila olímpica del poblenou;2.0
2.19701999481;41.3868418535;ciutat vella;la barceloneta;2.0
2.19777105376;41.3862092514;ciutat vella;la barceloneta;2.0
2.20124715622;41.3879607172;sant martí;la vila olímpica del poblenou;1.0
2.1987508;41.387795;sant martí;la vila olímpica del poblenou;4.0
2.20177856826;41.3879975477;sant martí;la vila olímpica del poblenou;3.0
2.20048266387;41.388730395;sant martí;la vila olímpica del poblenou;2.0
2.20024170344;41.3887997025;sant martí;la vila olímpica del poblenou;2.0
2.197211;41.385421;ciutat vella;la barceloneta;2.0
2.19684833344;41.3853607383;ciutat vella;la barceloneta;2.0
2.20124042;41.3879177533;sant martí;la vila olímpica del poblenou;3.0
2.20067143161;41.3889475053;sant martí;la vila olímpica del poblenou;2.0
2.19706818961;41.3853285222;ciutat vella;la barceloneta;3.0
2.20290500444;41.3876050911;sant martí;la vila olímpica del poblenou;2.0
2.20285111324;41.3873824549;sant martí;la vila olímpica del poblenou;2.0
2.19910789184;41.3879689832;sant martí;la vila olímpica del poblenou;3.0
2.20293;41.38722;sant martí;la vila olímpica del poblenou;2.0
2.19976967857;41.3879976799;sant martí;la vila olímpica del poblenou;1.5
2.198807;41.390247;sant martí;la vila olímpica del poblenou;2.0
2.19651706547;41.3848558462;ciutat vella;la barceloneta;2.0
2.19962749;41.3883696562;sant martí;la vila olímpica del poblenou;1.0
2.19844579697;41.3851968436;ciutat vella;la barceloneta;3.0
2.1985649472;41.3872362753;sant martí;la vila olímpica del poblenou;2.0
2.19743971713;41.38570135;ciutat vella;la barceloneta;1.0
2.10962;41.38353;les corts;la maternitat i sant ramon;3.0
2.11084848016;41.3836797366;les corts;la maternitat i sant ramon;3.0
2.11472868919;41.3812966705;les corts;la maternitat i sant ramon;4.0
2.11658;41.38077;les corts;la maternitat i sant ramon;2.5
2.12086;41.38135;les corts;la maternitat i sant ramon;4.0
2.18787;41.37203;ciutat vella;la barceloneta;4.0
2.11830859359;41.3799734377;les corts;la maternitat i sant ramon;1.0
2.12643;41.38413;les corts;la maternitat i sant ramon;1.0
2.1262014975;41.381099635;les corts;la maternitat i sant ramon;2.0
2.1279;41.3806;les corts;la maternitat i sant ramon;2.0
2.13337;41.38446;les corts;les corts;2.0
2.1331286;41.3849982;les corts;les corts;1.0
2.13768303394;41.3822264543;sants-montjuïc;sants;2.0
2.13086150845;41.3838029935;les corts;les corts;1.0
2.13818;41.38421;les corts;les corts;2.0
2.13146;41.38313;les corts;les corts;1.0
2.13365223989;41.3811381256;sants-montjuïc;sants;2.0
2.14;41.3788888889;sants-montjuïc;sants;1.0
2.13625;41.38792;les corts;les corts;2.0
2.13563;41.38668;les corts;les corts;1.0
2.13117;41.38547;les corts;les corts;1.0
2.13267;41.38591;les corts;les corts;2.0
2.1380118;41.3826184;sants-montjuïc;sants;2.0
2.1327;41.3797112;sants-montjuïc;sants;1.0
2.13479;41.38326;les corts;les corts;2.0
2.130452112;41.383641124;les corts;les corts;2.0
2.13379;41.38075;sants-montjuïc;sants;2.0
2.1326;41.38299;les corts;les corts;1.0
